模型名称：数据导出
合约名称：PTA1309 
测试时间：2007-02-26 -- 2013-04-18
测试周期：日线
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：5吨/手
手续费：0圆/手
----------------------------------
  测试天数：		2243		  测试周期数：	1444
  指令总数：		1444		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147462528
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-21119.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	49.79%		  成交额：	120564400
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		1444		
  盈利次数比例：	48.75%		  亏损次数比例：	50.14%
  平均利润率：		-0.00%		  平均每次盈利：	-15
  标准离差率：		-4873.0%		  标准离差：		667.16
  多头次数：		722		  空头次数：		721
  多头盈利次数：	350		  空头盈利次数：	354

  盈利次数：		704		  亏损次数：	724
  总盈利：		298580(0.01%)	  总亏损：	-318350(-0.01%)
  平均盈利率：		424(0.00%)	  平均亏损率：	-440(-0.00%)
  最大盈利额：		5940(0.00%)	  最大亏损额：	-7590(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	11		  最大连续亏损次数：	9
  最大连续盈利：	9750(0.00%)	  最大连续亏损：	-8880(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20080219	8166	空头	20080220	8240	1	0	-370	-370	2147483136	正常
20080220	8240	多头	20080221	8242	1	0	10	10	2147483136	正常
20080221	8242	空头	20080222	8300	1	0	-290	-290	2147482880	正常
20080222	8300	多头	20080225	8450	1	0	750	750	2147483648	正常
20080225	8450	空头	20080226	8308	1	0	710	710	2147484416	正常
20080226	8308	多头	20080227	8450	1	0	710	710	2147485184	正常
20080227	8450	空头	20080228	8590	1	0	-700	-700	2147484416	正常
20080228	8590	多头	20080229	8728	1	0	690	690	2147485184	正常
20080229	8728	空头	20080303	8690	1	0	190	190	2147485440	正常
20080303	8690	多头	20080304	8670	1	0	-100	-100	2147485440	正常
20080304	8670	空头	20080305	8800	1	0	-650	-650	2147484672	正常
20080305	8800	多头	20080306	8698	1	0	-510	-510	2147484160	正常
20080306	8698	空头	20080307	8598	1	0	500	500	2147484672	正常
20080307	8598	多头	20080310	8584	1	0	-70	-70	2147484672	正常
20080310	8584	空头	20080311	8690	1	0	-530	-530	2147484160	正常
20080311	8690	多头	20080312	8668	1	0	-110	-110	2147484160	正常
20080312	8668	空头	20080313	8640	1	0	140	140	2147484416	正常
20080313	8640	多头	20080314	8558	1	0	-410	-410	2147483904	正常
20080314	8558	空头	20080317	8816	1	0	-1290	-1290	2147482624	正常
20080317	8816	多头	20080318	8600	1	0	-1080	-1080	2147481600	正常
20080318	8600	空头	20080319	8648	1	0	-240	-240	2147481344	正常
20080319	8648	多头	20080320	8628	1	0	-100	-100	2147481216	正常
20080320	8628	空头	20080321	8672	1	0	-220	-220	2147480960	正常
